Id,Category
00000,7
00001,5
00002,1
00003,1
00004,7
00005,3
00006,2
00007,3
00008,5
00009,7
00010,0
00011,3
00012,7
00013,7
00014,7
00015,9
00016,4
00017,0
00018,4
00019,6
00020,9
00021,2
00022,1
00023,7
00024,9
00025,0
00026,3
00027,1
00028,9
00029,4
00030,7
00031,6
00032,6
00033,7
00034,8
00035,7
00036,1
00037,6
00038,6
00039,4
00040,1
00041,2
00042,7
00043,8
00044,9
00045,9
00046,1
00047,5
00048,2
00049,0
00050,7
00051,8
00052,1
00053,6
00054,6
00055,7
00056,6
00057,3
00058,1
00059,8
00060,5
00061,9
00062,3
00063,3
00064,2
00065,2
00066,5
00067,6
00068,9
00069,7
00070,1
00071,7
00072,1
00073,0
00074,0
00075,5
00076,1
00077,5
00078,6
00079,5
00080,0
00081,4
00082,2
00083,2
00084,0
00085,9
00086,2
00087,3
00088,3
00089,3
00090,6
00091,1
00092,3
00093,4
00094,2
00095,1
00096,7
00097,8
00098,0
00099,7
00100,8
00101,5
00102,3
00103,0
00104,0
00105,3
00106,9
00107,5
00108,0
00109,5
00110,3
00111,1
00112,2
00113,0
00114,4
00115,8
00116,2
00117,9
00118,3
00119,0
00120,1
00121,7
00122,6
00123,5
00124,7
00125,0
00126,1
00127,9
00128,8
00129,0
00130,7
00131,1
00132,8
00133,8
00134,9
00135,1
00136,7
00137,2
00138,6
00139,0
00140,5
00141,5
00142,8
00143,1
00144,4
00145,9
00146,0
00147,0
00148,0
00149,3
00150,6
00151,5
00152,9
00153,9
00154,1
00155,2
00156,5
00157,8
00158,9
00159,1
00160,2
00161,8
00162,5
00163,5
00164,5
00165,0
00166,9
00167,4
00168,0
00169,2
00170,5
00171,7
00172,0
00173,0
00174,2
00175,1
00176,4
00177,1
00178,3
00179,3
00180,9
00181,5
00182,5
00183,5
00184,3
00185,3
00186,3
00187,2
00188,0
00189,5
00190,9
00191,1
00192,8
00193,8
00194,1
00195,4
00196,8
00197,6
00198,1
00199,9
00200,9
00201,1
00202,3
00203,9
00204,9
00205,4
00206,8
00207,4
00208,1
00209,1
00210,5
00211,9
00212,2
00213,3
00214,6
00215,9
00216,0
00217,1
00218,4
00219,7
00220,8
00221,2
00222,3
00223,3
00224,8
00225,5
00226,3
00227,0
00228,0
00229,3
00230,1
00231,8
00232,6
00233,1
00234,0
00235,2
00236,1
00237,4
00238,9
00239,7
00240,1
00241,2
00242,1
00243,3
00244,7
00245,3
00246,7
00247,0
00248,5
00249,8
00250,3
00251,5
00252,4
00253,4
00254,3
00255,9
00256,8
00257,6
00258,3
00259,9
00260,6
00261,2
00262,8
00263,0
00264,1
00265,5
00266,6
00267,7
00268,7
00269,6
00270,9
00271,6
00272,4
00273,1
00274,3
00275,0
00276,0
00277,1
00278,4
00279,0
00280,4
00281,0
00282,8
00283,3
00284,9
00285,3
00286,2
00287,2
00288,0
00289,1
00290,2
00291,7
00292,6
00293,3
00294,9
00295,1
00296,7
00297,1
00298,8
00299,3
00300,2
00301,4
00302,5
00303,0
00304,0
00305,4
00306,2
00307,0
00308,9
00309,1
00310,2
00311,5
00312,1
00313,3
00314,1
00315,7
00316,6
00317,7
00318,3
00319,1
00320,9
00321,2
00322,3
00323,4
00324,7
00325,8
00326,2
00327,5
00328,8
00329,3
00330,1
00331,5
00332,1
00333,2
00334,9
00335,6
00336,5
00337,0
00338,8
00339,7
00340,7
00341,3
00342,7
00343,0
00344,1
00345,3
00346,8
00347,7
00348,3
00349,0
00350,4
00351,6
00352,1
00353,7
00354,9
00355,0
00356,1
00357,7
00358,7
00359,3
00360,1
00361,5
00362,7
00363,6
00364,5
00365,8
00366,7
00367,1
00368,0
00369,9
00370,5
00371,9
00372,3
00373,6
00374,8
00375,5
00376,5
00377,0
00378,5
00379,1
00380,9
00381,3
00382,4
00383,8
00384,2
00385,1
00386,4
00387,4
00388,7
00389,9
00390,8
00391,9
00392,1
00393,7
00394,9
00395,5
00396,1
00397,2
00398,4
00399,3
00400,7
00401,2
00402,2
00403,4
00404,8
00405,4
00406,2
00407,1
00408,8
00409,3
00410,5
00411,1
00412,7
00413,0
00414,8
00415,7
00416,9
00417,9
00418,1
00419,6
00420,1
00421,2
00422,7
00423,0
00424,5
00425,8
00426,9
00427,2
00428,1
00429,6
00430,2
00431,1
00432,5
00433,6
00434,2
00435,8
00436,6
00437,5
00438,9
00439,7
00440,5
00441,2
00442,7
00443,5
00444,6
00445,0
00446,3
00447,4
00448,8
00449,4
00450,6
